adrs,codes
317 NW 2ND ST,120010005001013
307 NW 14TH ST,120010010003020
1320 NW 3RD AVE,120010010003020
1526 NW 7TH AVE,120010010004011
2117 SW 39TH WAY,120010015211003
515 N MAIN ST,120010005001009
GAINESVILLE,NA
3880 SW 20TH AVE,120010015201007
249 W UNIVERSITY AVE   <NULL>,120010005001062
2711 NE 12TH ST,120010004004025
2700 NW 51ST ST GAINESVILLE 32605 UNITED STATES,120010017011012
4715 NW 30TH TER,120010012024013
220 S MAIN ST,120010005001092
2718 W UNIVERSITY AVE,120010010002015
800 SE 4TH ST,120010003012060
400 598 NW 4TH PL,120010022081013
1536 NW 7TH AVE,120010010004011
218 NW 35TH TER,120010016031027
30 E UNIVERSITY AVE,120010005001049
530 N MAIN ST,120010005001010
1537 NW 7TH AVE,120010010004012
2039 NW 3RD AVE,120010010004042
1504 NE 8TH ST,120010005003002
2 98 SW 2ND AVE,NA
3806 SW 4TH PL,120010016042019
2509 NW 8TH AVE,120010022081000
2541 NW 52ND AVE,120010012021008
310 NW 8TH AVE,120010003012054
2156 NW 4TH PL,120010010004035
200 E UNIVERSITY AVE,120010005001023
2513 NW 31ST AVE,120010011004000
1209 NW 4TH AVE,120010002003014
4101 4325 NW 24TH BLVD,120010012025011
2 98 SE 1ST AVE,NA
210 SE 3RD ST,120010005001044
NW 6TH ST,NA
611 NW 10TH AVE,120010003012057
30 NE 43RD TER,120010014001016
SW 58TH TER   SW 9TH PL,NA
534 SW DEPOT AVE,120010002002042
816 NE 10TH AVE,120010005003025
6 NW 32ND ST,120010010002001
411 NW 21ST ST,120010010004036
903 NW 51ST TER,120010017022017
1721 SE 4TH ST,120010007002066
507 NW 19TH ST,120010010004022
NW 13TH ST,NA
1605 NW 31ST PL,120010012031053
3002 NW 31ST TER,120010011004004
202 SE 2ND AVE,120010005001045
4254 NW 36TH ST,120010012011000
4530 NORTHWEST 30TH TERRACE,120010012024000
503 NE 9TH ST,120010005004015
21 WEST UNIVERSITY AVENUE,120010005001060
223 NW 48TH BLVD,120010016041015
1724 NW 12TH ST,120010003011026
3518 NORTHWEST 22ND TERRACE,120010012022000
1229 SW 5TH AVE,120010002006005
1326 NW 9TH AVE,120010010001031
1503 NORTHWEST 11TH ROAD,120010010001026
405 NW 7TH AVE,120010002001006
3 SE 1ST AVE,120010005001058
SW 37TH ST,NA
428 SE 7TH ST,120010005001076
428 NW 2 AVE,120010002001023
2225 NW 2 AVE,120010010004034
710 NW 3RD STREET,120010002001001
2922 NE 17TH TERRACE,120010004001013
889 999 N MAIN ST,120010003012024
3003 NORTHEAST 14TH STREET,120010004004020
SAM S TIRE 4500 NW 6TH ST GAINESVILLE,NA
SW 23RD TERR AND ARCHER ROAD,120010015141002
NORTHWEST 10TH AVENUE,NA
2220 SOUTHWEST 14TH STREET,120010008091008
313 NW 2ND ST,120010005001013
625 627 NORTHWEST 6TH STREET,120010002001014
1310 WEST UNIVERSITY AVENUE,120010010003023
199 NORTHWEST 18TH STREET,120010010003028
NW 4TH AVE   NW 8TH ST,NA
452 NW 37 PL,120010003021006
411 NW 2ND ST,120010005001012
1208 SW 1 AVE,120010002005000
2305 SOUTHWEST 34 PLACE,120010015153009
1536 NW 7TH AVENUE,120010010004011
2044 2098 SOUTH MAIN STREET,120010008082008
324  NW   24  TH  ST   32607,120010010002001
400 408 SE 6TH TERRACE,120010005001077
4914 NW 18TH PLACE,120010017022003
2100 2298 SW 2ND AVE,120010010004047
1 99 SE 1ST AVE,NA
418 NW 27TH TER,120010010002001
3002 NW 31ST TER,120010011004004
46 SW 25TH ST,120010010002021
69 SOUTHWEST 6TH STREET,120010005001065
417C NW 39 RD,120010016031008
1239 NW 10TH AVE,120010003012045
SW 42ND ST,NA
2951 NW 21ST AVE,120010011004012
409 NW 7TH AVE,120010002001006
1622 1698 NORTHEAST 15TH STREET,120010004002030
3907 SW 5TH PLACE,120010016042024
2115 NW 3RD PLACE,120010010004044
710 NW 54TH TERRACE,120010016041025
1927 NW 7 LANE,120010010004025
325 NW 30 ST,120010010002030
3300 NW 8TH AVE,120010010005010
1000 SW 62 BLVD,120010016044006
600 NW 36TH ST,120010016031007
2114 NW 55TH BLVD,120010012023001
3017 NE 11TH TERRACE,120010004004014
3926 NW 34TH DR,120010012011023
2430,NA
1935 2005 NORTHWEST 27TH TERRACE,120010011004018
642 NW34TH TERR GAINESVILLE FL,NA
900 NE 7TH STREET,120010005003029
NE 9TH AVE AND NE 6TH ST,NA
SOUTHSIDE OF SR24 BETWEEN UF HEALTH   VA HOSPITAL,NA
3010 SW 23 RD TERRACE,120010010002033
3116 FL 26,120010010002009
537 NW 35TH TERRACE,120010016031005
200 EAST UNIVERSITY AVENUE,120010005001023
818 NW 21ST TERRACE,120010010001035
1234 SOUTHWEST 1 AVENUE,120010002005000
101 199 NE 3RD AVE,120010005001017
529 599 NE 2ND AVE,120010005005029
700 NORTHWEST 19TH AVENUE,120010003011025
222 NE 1ST ST,120010005001018
2091 2097 SOUTHWEST 23RD TERRACE,120010015142000
1409 SOUTHWEST 105TH TERRACE,120010022082003
318 NW 24TH ST,120010010002001
WALDO ROAD GREENWAY DEPOT AVENUE RAIL TRAIL,NA
2503 NW 59TH AVE,120010018033020
3930 NW 33RD PL,120010011001012
730 NORTHWEST 5 STREET,120010002001002
4013 SW 28TH TERR,120010015171000
600 614 NW 7TH AVE,120010002001003
1212 SOUTHWEST 1 AVENUE,120010002005000
1015 SW 5TH AVE,120010002006006
408 SOUTHEAST 6TH TERRACE,120010005001077
401 E UNIVERSITY AVE,120010005001030
4322 NW 20TH TERR,120010012031007
21 E UNIVERSITY AVE,120010005001048
734 NE 3RD AVE,120010005004023
NE 16TH AVE AND N MAIN ST,120010003011002
1600 1860 NW 23RD BLVD,120010012032006
1001 WALDO ROAD GREENWAY DEPOT AVENUE RAIL TRAIL,120010006001040
3960 SW 1ST AVENUE,120010016042002
2206 NORTHWEST 2ND AVENUE,120010010004032
2314 SW ARCHER RD,120010015141002
43 N MAIN ST,120010005001049
2002 NW 6TH ST,120010003011015
3405 NW 10TH AVE,120010017021036
1633 NE 18TH PL  GAINESVILLE,120010004002018
530 NE 8TH AVE,120010005003037
3469 3505 NORTHWEST 12TH AVENUE,120010017021010
4300 SW 13TH ST,120011108001032
725 N MAIN ST,120010005001001
1633 NE 18TH PL,120010004002018
825 837 NE 5TH AVE,120010005004021
2209 NE 9TH STREET,120010004003001
1200 NW 52ND TER,120010017022026
1921 NW 6TH ST,120010003011021
4000 N MAIN ST,120010019021018
2 110 NE 16TH AVE,NA
405 NE 5TH ST,120010005005025
600 698 NORTHEAST 16TH AVENUE,120010004003005
2826 NW 68TH AVE,120010018032023
923 SE 2ND AVE,120010005001071
515 NORTHEAST WALDO ROAD,120010006002006
"3000 SW 35TH PL
GAINESVILLE FL 32608
UNITED STATES",120010015153000
NW 16TH TERRACE,NA
400 NORTHWEST 9TH AVENUE,120010003012050
4411 SW 34TH STREET,120010015171000
4723 NORTHWEST 53RD AVENUE,120010018112004
1726 NW 9TH ST,120010003011034
1022 1098 NORTHEAST 7TH STREET,120010005003018
497 515 N MAIN ST,120010005001009
3504 NW 21ST ST,120010012022016
561 SOUTHEAST 5TH AVENUE,120010005001102
1948 NW 4TH ST,120010003011016
804 NW 11TH AVE,120010003012039
2552 NW 62ND AVE,120010018033015
2386 SOUTHWEST 42ND STREET,120010015213023
NORTH POINTE VILLAS NW 23RD TERRACE AND 64TH PLACE,NA
300 SW 16TH AVE,120010008061002
718 SW 10TH ST,120010002006009
1900 NW 22ND STREET,120010011003015
2337 SW ARCHER RD,120010015142000
700 900 NE 10TH AVE,120010005002027
1200 NE 2ND ST,120010003012000
1200 NW 4TH AVE,120010002003012
1410 SW 25TH PL,120010008091023
1292 NORTHWEST 11TH AVENUE,120010003012035
200 204 NE 5TH AVE,120010005005021
713 NORTHWEST 4TH STREET,120010002001001
1536 NW 7TH AVENUE,120010010004011
301 399 NE 12TH ST,NA
NE 10TH AVE   NE 6TH TER,NA
3901 4299 NW 16TH ST,120010012031012
525 601 SOUTHWEST 42ND STREET,120010016042013
2532 SW 14TH DR,120010008091023
3115 NW 8TH STREET,120010003023034
738 NW 22ND AVE,120010003011006
2306 SW 13TH STREET,120010008091023
2335 2365 W UNIVERSITY AVE,120010010002031
334 SE 21ST STEET,120010006003056
412 NW 3RD ST,120010002001011
NE 3RD AVE,NA
439 S MAIN ST,120010005001088
452 NW 37TH PL,120010003021006
1815 NW 42ND AVE,120010012031013
4526 NW 41ST PL,120010018113027
2046 NORTHWEST 50TH PLACE,120010012025000
3700 NW 19TH ST,120010012022000
820 NW 19TH AVE,120010003011025
536 SOUTHWEST 2ND AVENUE,120010005001065
2270 NW 21 AVE,120010011003013
2901 2915 SOUTHWEST 35TH PLACE,120010015172000
434 NW 15TH ST,120010010003002
4311 NW 16 PL,120010017022012
101 199 SE 1ST AVE,120010005001057
2900 NE 9TH ST,120010004004009
WALDO ROAD GREENWAY DEPOT AVENUE RAIL TRAIL,NA
3194 3258 NW 8TH AVE,120010010005010
1005 SOUTHEAST 4 STREET,120010007002019
2112 2116 SW 16TH ST,120010008091004
1125 NORTHWEST 22 STREET,120010010001010
4418 NW 27TH TERRACE,120010012021000
325 NE 9TH STREET,120010005004020
1653 NW 16TH AV,120010010001002
3400 3598 SW 91ST ST,120010022082000
720 SE 9TH PLACE,120010007002022
2808 NORTHWEST 34TH STREET,120010011001014
908 NE 8TH AVE,120010005002038
1921 1927 NW 22ND ST,120010011003018
2784 NW 13TH ST,120010012032004
1401 NE 2ND ST,120010005003005
520 NW 6TH PL,120010002001006
2227 NW 7TH LANE,120010010004009
817 NW 16TH AVE,120010003012008
4341 NW 28TH TERRACE,120010012021000
1712 NW 49TH TER,120010017022003
1599 NW 19TH CIR,120010011003032
2235 2245 NORTHWEST 5TH PLACE,120010010004032
800 NW 19TH AVE,120010003011025
2204 NW 2 AVE,120010010004032
701 SW 23 PL,120010008083004
NE 2ND ST AND NE 13TH AVE,120010003012000
309 SE 7TH ST,120010005001075
2901 SW 13TH ST,120010008083001
1841 NW 14TH AVE,120010010001006
819 NW 39TH DR,120010017021024
915 NE 8TH AVE,120010005004004
2021 NORTHWEST 11TH ROAD,120010010001015
1212 SW 1 AVE,120010002005000
NW 2ND ST,NA
2300 NW 13TH ST,120010022043021
2134 EAST UNIVERSITY AVENUE,120010010004044
1 99 SE 2ND AVE,NA
620 NE BLVD,120010005005010
EAST END EATERY,NA
204 NORTHEAST WALDO ROAD,120010005004030
3505 NW 39TH LN,120010012011023
2043 NW 7TH LANE,120010010004026
320  NW  24  TH ST,120010010002001
TRAFFIC SIGNALS ON SW 13TH STREET TO WILLISTON RD AT 5 AM,NA
3320 NW 17TH ST,120010012031040
3453 SW WILLISTON RD,120010021012000
600 NW 23RD AVE,120010003023046
207 NW 35TH TERRACE GAINESVILLE,120010016031026
NW 10TH ST   NW 8TH AVE,NA
910 SE 8TH AVE,120010007002003
825 NE 4TH AVE,120010005004024
1601 SW 51 TERRACE,120010017022006
600 1198 NE 4TH PL,120010005004018
MILLRUN,NA
732 NW 4TH STREET,120010002001002
NW 14TH AVE BETWEEN 2ND AND 4TH STREETS AND 4TH AND 6TH STREETS,NA
305 NE 5TH AVE,120010005005023
6519 W NEWBERRY RD,120010022023021
819 SE 2ND AVE,120010005001070
2337 SW ARCHER RD,120010015142000
2615 NW 20TH ST,120010011003008
405 NE 5TH AVE,120010005005024
NE 7TH ST AND NE 8TH AVE,120010005003035
1325 NW 11TH RD,120010010001027
508 NW 2 AVE,120010002001023
1018 NE 14TH AVE,120010005003042
1520 NORTHWEST 34TH STREET,120010017021007
6431 NW 26TH TERRACE,120010018033000
537 NW 34TH DR,120010016031003
1024 NORTHEAST 14TH STREET,120010005002011
527 NE 12TH ST,120010005004002
MYRTLE LN,NA
SW 13TH ST,NA
4021 NORTHWEST 21ST STREET,120010012031019
2280 NW 21ST AVE,120010011003013
408 SE 6TH TERRACE,120010005001077
721 NW 39TH ROAD,120010016031008
4719 NW 53RD AVENUE,120010018112004
1000 1022 NORTHWEST 16TH AVENUE,120010003011033
1350 1402 SOUTHEAST 4 STREET,120010007002070
2120 NW 23RD ST,120010011004025
3755 NORTHWEST 7TH AVENUE,120010016031008
SW 37TH BLVD,NA
151 NORTHWEST 14TH STREET,120010010003021
2140 NW 11TH AVENUE,120010010001005
1638 NW 23RD AVE,120010012032006
1399 NORTHEAST 9TH STREET,120010005002014
3016 N E 19 ST,120010004001005
2101 NORTHWEST 8TH AVENUE,120010022081000
"3630 SW 47TH AVE
GAINESVILLE FL 32608
UNITED STATES",120010022191011
4126 NW 34TH DRIVE,120010012011023
1526 NE 7TH STREET AND,120010005003004
310 NW 15TH AVENUE,120010003012003
518 NW 36TH AVE,120010003021006
6518 NW 26TH TERRACE,120010018033010
4910 NW 8TH AVE,120010017022017
851 877 NW 10TH ST,120010003012048
NW 13 ST AND STADIUM RD,NA
2600 NW 6TH ST,120010003023025
318 NW 24TH STREET,120010010002001
2163 NORTHWEST 8TH AVENUE,120010022081000
3833 NORTHWEST 34TH STREET,120010012022011
1314 NE 8TH ST,120010005003002
MILLRUN SW 20TH,NA
2257 NW 15TH AVE,120010010005001
1515 N MAIN ST,120010003012000
1709 NE 15TH ST,120010004002028
3950 SW ARCHER RD,120010015213024
1311 SW 13TH ST,120010008061010
517 SW 10TH ST,120010002006012
400  BLOCK NE 2ND ST,120010005001008
1801 NW 23RD AVENUE,120010011004025
1812 1902 S MAIN ST,120010008082000
NW 22ND STREET AND NW 7TH AVE,120010010004026
7022,NA
22 NW 13TH ST,120010007001001
4617 NW 41ST STREET,120010012011012
3527 SW 20TH AVE,120010015212005
310 NORTHWEST 7TH AVENUE,120010002001001
1300 1428 NW 8TH AVE,120010010001029
428 NW 2ND AVENUE,120010002001023
2400 2898 SW 14TH DR,120010008091023
NW 43RD ST,NA
400 566 NE 16TH AVE,120010004003006
2715 NW 4TH AVE,120010010002005
SW 20TH AVE   SW 34TH ST,NA
1306 NW 7TH RD,120010010004001
3131 NORTHWEST 10TH PLACE,120010010005016
3023 NORTHEAST 11TH TERRACE,120010004004014
1052 1498 NW 31ST DR,120010010005005
205 215 NORTHEAST 3RD STREET,120010005005035
1200   1400 NW 18TH STREET,120010010001005
1827 SW 49 PL,120011108001017
817 NW 37TH TERRACE,120010017021007
1127 NW 15TH ST,120010010001024
1403 1427 NORTHWEST 9TH AVENUE,120010010001029
1220   1222 WEST UNVERSITY AVENUE,120010002004007
1811 NE 28TH AVE,120010004001001
407 NORTHWEST 15TH STREET,120010010003001
NE 39TH AVE   NE 28TH DR,NA
2616 NW 11TH AVE,120010010005003
1540 NE WALDO RD,120010005002000
1405 NORTHWEST 31 DRIVE,120010010005005
301 399 NE 2ND ST,NA
VARIOUS,NA
1610 NW 16TH TERRACE,120010011003032
2228 NORTHWEST 2ND AVENUE,120010010004032
901 NW 4TH ST,120010003012051
NORMAN HALL ADDITION,NA
417 NW 39 TD,120010016031008
3545 SW 47 AVENUE,NA
2441 NW 43RD STREET,120010011002012
8207 NORTHWEST 53RD STREET,NA
505 513 NE 9 AVE,120010005003045
600 614 NORTHWEST 8TH AVENUE,120010003012063
1101 NE 4 ST,120010005003013
MEDIAN  BETW SE2ND AV   SE 3RDST,NA
200 E UNIVERSITY AVE,120010005001023
1715 NW 22ND STREET,120010011003018
1700 1898 NW 22 ST,120010011003030
1 109 NW 20TH TER,NA
209 NW 4TH PL,120010002001010
900 998 8TH ST,120010005003031
2206 W UNIVERSITY AVE,120010010004033
2204 NW 5TH PL,120010010004032
301 SE 7TH ST,120010005001075
3500 NE WALDO RD,120010004001000
1633 NW 14 AVENUE,120010010001032
307 SW 16TH AVE,120010008082000
210 NW 24TH ST,120010010002001
237 SW 2ND AVE,120010002002001
2007 NE 9TH PL,120010006001007
1014 1040 NE 5 TERRACE,120010005003015
4800 SOUTHWEST 34TH STREET,120010015191006
585 NW 15TH AVE,120010003012017
3900 NW 15 AVE,120010017021012
2010 NW 36TH DR,120010011002016
316 322 NW 7 TERRACE,120010002001025
323 NW 6TH ST,120010002001006
815 NE 10TH AVE,120010005003032
27 99 SW 2ND ST,NA
1126 NW 16TH AVE,120010003011025
736 798 NW 9TH ST,120010002003001
223 S MAIN ST,120010005001082
NW 53 AVE AND NW 19 ST,NA
902 N MAIN ST,120010003012056
1339 NW 25TH TERRACE,120010010005002
1518 NW 7TH AVE,120010010004011
4005 NW 9TH CT,120010017021033
2623 NW 74TH PL BUILDING 1 BAY 9,120010018023111
4326 NW 27TH TERRACE,120010012021000
2 SOUTHWEST 1ST AVENUE,120010005001060
PRESIDENT S HOUSE,NA
2300 SE 11 AVE,120010007003011
2120 SW 16TH ST,120010008091004
2377 2467 SOUTHWEST 43RD STREET,120010015211000
THE VALLEY NEIGHBORHOOD,NA
"2735 SW 35TH PL
GAINESVILLE FL 32608
UNITED STATES",120010015172004
SOUTHWEST 10TH STREET,NA
537 NW 35TH TERRACE,120010016031005
5 91 SOUTHEAST DEPOT AVENUE,NA
1300 1398 NORTHWEST 43RD TERRACE,120010017022020
1213 NW 39TH AVE,120010003023000
NW 10TH ST   W UNIVERSITY AVE,NA
WALDO RD GREENWAY DEPOT AVENUE RAIL TRAIL,NA
6005 NORTHWEST 23RD TERRACE,120010018033019
NW 39TH AV   NW 13TH ST,NA
1400 NW 2ND STREET,120010003012019
315 NE 8TH ST,120010005004024
3475 3513 SOUTHWEST 2ND AVENUE,120010016041000
207 NW 35TH TERRACE,120010016031026
1123 1199 NE 9 AVE,120010005002034
1607 1619 NW 12TH ST,120010003011025
627 699 SE 2ND PL,120010005001069
NW 16TH AVE   NW 16TH TER,NA
722 NW 15TH AVE,120010003012007
436 SE 15TH ST,120010007001027
2320 3340 SOUTHWEST 34 PLACE,120010015153000
3535 3577 SR 121 S,NA
418 NW 8TH AVE,120010003012059
1641 NW 10TH AVE,120010010001029
3201 3303 OLD ARCHER RD,120010015151011
2700   2748 NE 39 AVE,120010019022040
200 EAST UNIVERSITY AVENUE,120010005001023
900 NE 23RD ST,120010006001016
837 SW 9TH ST,120010002006022
1023 SW 1ST AVE,120010002004022
N MAIN AND NE 16TH AVE,120010003011002
46 SW 25TH ST,120010010002021
505 NORTHEAST 20TH STREET,120010006003018
1521 NORTHWEST 7TH AVENUE,120010010004012
41 99 SOUTH MAIN STREET,NA
1600 WEST UNIVERSITY AVENUE,120010010003032
4000 SW 37 BLVD,120010015191013
2954 SW 35TH PL,120010015153000
2940 2954 SW 35TH PL,120010015153000
3521 NW 34 PL,120010011001002
4125 SW 17TH PL,120010015201007
1629 EAST UNIVERSITY AVENUE,120010009024000
2016 NE 17TH TERRACE,120010004002003
62ND BLVD,NA
1045 NE 12TH AVE,120010005002019
 323    NW  24  ST,120010010002001
1201 1299 NE 3RD AVE,120010006002026
229 NW 15TH AVENUE,120010003012019
207 NW 35TH TERRACE,120010016031026
425 FLORIDA 24,120010002006003
1001 WALDO ROAD GREENWAY DEPOT AVENUE RAIL TRAIL,120010006001040
1621 NW 9TH ST,120010003011027
1903 NW 36TH DR,120010011002017
2525 NW 34TH TER,120010011001015
316 NW 28TH ST,120010010002002
"3718 SW 24TH AVE
GAINESVILLE FL 32607
UNITED STATES",120010015212005
8620 NW 13 ST  115,120010018032002
4100 4198 SW 2ND AVE,120010016042005
NW 45TH AVE,NA
525 NW 19TH LN,120010003011021
900 998 NW 4TH ST,120010003012050
2 E UNIVERSITY AVE,120010005001049
2105 NW 3RD PL,120010010004044
2356 WEST UNIVERSITY AVENUE,120010010002001
MUSEUM ROAD,NA
2235 NW 5TH PL,120010010004032
705 745 NW 60TH ST,120010016041002
503 NW 3RD AVE,120010002001023
4322 NW 20TH TERR,120010012031007
14 NORTHEAST 8TH AVENUE,120010003012061
3401 3499 SW 42ND AVE,120010015191006
2918 2924 NORTHEAST 10TH STREET,120010004004010
SW 37TH BLVD,NA
3830 NW 10TH PL,120010017021027
1818 NW 22 DR,120010011003016
720 NW 13TH STREET,120010010001028
3989 SW 39 BLVD,NA
412 NW 3RD AVE,120010002001019
2 98 NE 2ND AVE,NA
414 NORTHWEST 5TH AVENUE,120010002001006
719 SE 2ND AVE,120010005001070
1701 NW 34 PL,120010012031040
2264 NW 15TH AVE,120010010005000
735 SE 4TH AVE,120010005001074
2311 SW 39TH DRIVE,120010015211000
SW WILLISTON RD   FL 121   I 75,NA
8620 NW 13TH ST UNIT 409,120010018032002
NORTHWEST 42 AVENUE,NA
296  NW  24  TH ST,120010010002001
1517 NW 7TH AVENUE,120010010004012
423 NORTHWEST 3 STREET,120010002001009
1015 NORTHWEST 34TH TERRACE,120010017021010
1218 SW 3RD AVE,120010002005002
1515 N MAIN ST,120010003012000
1473 1513 NORTHEAST STATE ROAD 24,NA
3918 SOUTHWEST 38 STREET,120010015191006
604 NE 7TH AVE,120010005005000
1666 NW 19TH CIR,120010011003027
701 NW 21ST AVE,120010003011014
2 22 SE 2ND PL,NA
1080 NE 16TH AVE,120010004003019
218 NW 35TH TER,120010016031027
421 SW 5TH STREET,120010002002016
1126 NW 8TH ST,120010003012039
3620 NORTHWEST 31ST STREET,120010012022011
4900 NW 39TH TERRACE,120010012011012
1401 1423 NW 16TH TERRACE,120010010001001
545 NORTHWEST 8TH AVENUE,120010022081000
1011 SE 2ND AVE,120010007001022
GAINESVILLE,NA
3002 3098 N MAIN ST,120010003021013
4001 NW 19TH ST,120010012031012
7821 NW 51ST DR,120010018131020
3527 SW 20TH AVE,120010015212005
3533 SW 35TH PL,120010015201010
1401 1499 NORTHWEST 22ND STREET,120010010001010
4013 NORTHWEST 14TH STREET,120010012031029
4410 NW 18TH PLACE,120010017022009
"3500 SW ARCHER RD
GAINESVILLE FL 32608
UNITED STATES",120010015213020
4004 4052 SW 20TH AVE,120010015201019
SOUTHWEST 40 BLVD AND ARCHER ROAD,NA
507 NW 34TH TERR GAINESVILLE FLORIDA,120010016031002
4010 SW 30TH TR,120010022201019
3411 3415 NW 13TH AVE,120010017021010
6701 6707 FL 26,NA
5200 W NEWBERRY ROAD,120010016031020
1304 NORTHEAST 28TH AVENUE,120010004004021
2303 SW 39TH WAY,120010015211000
1935 NW 5TH AVENUE,120010010004037
1720 SW 37TH ST,120011108001002
1923 NW 5TH AVE,120010010004037
2000 SOUTHWEST ARCHER ROAD,NA
1825 NW 18TH TERRACE,120010022041000
2640 2672 NORTHWEST 13TH STREET,120010012032004
