Address,Census Code,Geo ID,Tract,Population,Median Income,Per Capita,Under Poverty,Employed
1690-1698 NORTHWEST 16TH TERRACE,120010011003032,12001001100,001100,7143,40000,1752,39743,5676
2106 NORTHWEST 4TH PLACE,120010010004035,12001001000,001000,5596,16646,783,37463,5223
1000 NW 6TH AVE,120010002003009,12001000200,000200,6671,7174,282,11678,6534
4321 SW 24TH AVE,120010015213023,12001001521,001521,4229,17670,527,16308,3882
NE 4TH AVE AND NE 6TH STREET,NA,NA,NA,NA,NA,NA,NA,NA
1923 NW 23RD BLVD,120010011003008,12001001100,001100,7143,40000,1752,39743,5676
1017 NW 42ND AVE,120010003022010,12001000302,000302,2343,24292,414,25223,1967
1522 NORTHWEST 4TH STREET,120010003012004,12001000301,000301,4355,20845,615,19201,3871
710 NW 4TH STREET,120010002001002,12001000200,000200,6671,7174,282,11678,6534
1653 NW 17TH ST,NA,NA,NA,NA,NA,NA,NA,NA
35 SE 5TH AVE,120010005001098,12001000500,000500,5171,24516,872,30253,4560
4901-4999 SW 18TH PL,120010016044034,12001001604,001604,8129,18544,918,20622,7700
2301 SW 39TH DRIVE,120010015211000,12001001521,001521,4229,17670,527,16308,3882
4010 NORTHWEST 8TH AVENUE,120010017021033,12001001702,001702,5622,38289,1352,40794,4560
1216 NE 9 AVE,120010005002003,12001000500,000500,5171,24516,872,30253,4560
1911 NE 3RD AVE,120010006003030,12001000600,000600,5195,20582,987,13268,3835
4348 NW 28TH TERR,120010012021005,12001001202,001202,7309,33838,1572,39611,6253
207 NW 35TH TERRACE,120010016031026,12001001603,001603,1467,17042,213,24036,1311
212 NW 21ST ST,120010010004044,12001001000,001000,5596,16646,783,37463,5223
SW 62ND BLVD,NA,NA,NA,NA,NA,NA,NA,NA
1410 SW 25TH PL,120010008091023,12001000809,000809,1231,24085,125,24212,1159
1521 NW 35TH TERRACE,120010017021007,12001001702,001702,5622,38289,1352,40794,4560
300 SW 13TH ST,120010007001011,12001000700,000700,6395,19240,1305,19984,5284
4373-7299 NW 18 AVE,120010017023009,12001001702,001702,5622,38289,1352,40794,4560
715 NW 6TH AVE,120010002001016,12001000200,000200,6671,7174,282,11678,6534
2115 NW 3RD PL,120010010004044,12001001000,001000,5596,16646,783,37463,5223
5651-5681 NW 43RD ST,120010018034007,12001001803,001803,5457,28901,1280,30587,4622
GUERRY-HAWTHORNE CONNECTION TRAIL,NA,NA,NA,NA,NA,NA,NA,NA
200 E UNIVERSITY AVE,120010005001023,12001000500,000500,5171,24516,872,30253,4560
618 NW 1ST STREET,120010005001004,12001000500,000500,5171,24516,872,30253,4560
716  SW   25  TH  STREET,NA,NA,NA,NA,NA,NA,NA,NA
2003 NORTHWEST 32 PLACE,120010012031049,12001001203,001203,3542,33315,673,28551,2975
4234 NW 27TH TERR,120010012021000,12001001202,001202,7309,33838,1572,39611,6253
417 NW 39 RD,120010016031008,12001001603,001603,1467,17042,213,24036,1311
3700 NW 53RD AVE,120010017011009,12001001701,001701,5495,24614,1173,29613,4703
2800 NORTHEAST 9TH STREET,120010004004009,12001000400,000400,6655,23015,1246,18756,4711
WESTSIDE PARK,NA,NA,NA,NA,NA,NA,NA,NA
600-612 SOUTHEAST 8TH STREET,120010007001032,12001000700,000700,6395,19240,1305,19984,5284
2114 NW 2ND ST,120010003011004,12001000301,000301,4355,20845,615,19201,3871
718 SW 10TH ST,120010002006009,12001000200,000200,6671,7174,282,11678,6534
327 NORTHWEST 16TH STREET,120010010003009,12001001000,001000,5596,16646,783,37463,5223
710 NW 3RD STREET,120010002001001,12001000200,000200,6671,7174,282,11678,6534
1531 NW 6TH AVENUE,120010010004019,12001001000,001000,5596,16646,783,37463,5223
1900 NW 22 STREET,120010011003015,12001001100,001100,7143,40000,1752,39743,5676
20 SW 23 ST,120010010002032,12001001000,001000,5596,16646,783,37463,5223
SOUTH MAIN STREET,NA,NA,NA,NA,NA,NA,NA,NA
157 GALE LEMERAND DR,NA,NA,NA,NA,NA,NA,NA,NA
SE 4 AVE,NA,NA,NA,NA,NA,NA,NA,NA
3403 W UNIV AV,120010016043000,12001001604,001604,8129,18544,918,20622,7700
752 NW 22ND ST,120010010004009,12001001000,001000,5596,16646,783,37463,5223
1805-1899 NORTHWEST 31ST PLACE,120010012032000,12001001203,001203,3542,33315,673,28551,2975
3700 NW 19TH ST,120010012022000,12001001202,001202,7309,33838,1572,39611,6253
1223 NW 18TH AVE,120010003011026,12001000301,000301,4355,20845,615,19201,3871
439 NW 37TH AVE,120010003021006,12001000302,000302,2343,24292,414,25223,1967
4320 NW 25TH TERRACE,120010012021018,12001001202,001202,7309,33838,1572,39611,6253
658-668 NORTHWEST 22ND STREET,120010010004032,12001001000,001000,5596,16646,783,37463,5223
1220 NW 7TH ST,120010003012029,12001000301,000301,4355,20845,615,19201,3871
4313 NW 27TH TERRACE,120010012021018,12001001202,001202,7309,33838,1572,39611,6253
2817 NW 41ST PLACE,120010012021010,12001001202,001202,7309,33838,1572,39611,6253
4234 NW 27TH TERRACE,120010012021000,12001001202,001202,7309,33838,1572,39611,6253
3960 PLAZA BLVD,NA,NA,NA,NA,NA,NA,NA,NA
N MAIN ST & 1ST AV,NA,NA,NA,NA,NA,NA,NA,NA
4201 NW 14TH PLACE,120010017021012,12001001702,001702,5622,38289,1352,40794,4560
NW 80TH AVE,NA,NA,NA,NA,NA,NA,NA,NA
709 NW 22ND ST,120010010004026,12001001000,001000,5596,16646,783,37463,5223
1629-1635 NORTHWEST 36TH WAY,120010017021007,12001001702,001702,5622,38289,1352,40794,4560
120   NORTH WEST  24  TH ST,NA,NA,NA,NA,NA,NA,NA,NA
2930 SW 23RD TERRACE,120010010002033,12001001000,001000,5596,16646,783,37463,5223
420-498 NE BLVD,120010005005025,12001000500,000500,5171,24516,872,30253,4560
1025 NE 22ND ST,120010006001018,12001000600,000600,5195,20582,987,13268,3835
901-921 NE 4TH PL,120010005004020,12001000500,000500,5171,24516,872,30253,4560
1911 SE 14 AVE,120010007003045,12001000700,000700,6395,19240,1305,19984,5284
2419 NW 13TH PLACE,120010010005002,12001001000,001000,5596,16646,783,37463,5223
516 SW 40 TERRACE,120010016041000,12001001604,001604,8129,18544,918,20622,7700
BO DIDDLEY PLAZA,NA,NA,NA,NA,NA,NA,NA,NA
3941  SW 5TH PLACE,120010016042024,12001001604,001604,8129,18544,918,20622,7700
2116-2124 NE 8TH ST,120010004003003,12001000400,000400,6655,23015,1246,18756,4711
4027 SOUTHWEST 28TH TERRACE,120010015171000,12001001517,001517,4969,17613,455,15437,4546
4304 NW 13TH STREET,120010022043021,12001002204,002204,11308,41581,2960,39366,8593
914 NE BLVD,NA,NA,NA,NA,NA,NA,NA,NA
ADDRESS UNAVAILABLE,NA,NA,NA,NA,NA,NA,NA,NA
876 SE 4 ST,120010007002011,12001000700,000700,6395,19240,1305,19984,5284
928 SW 1 AVE,120010002004012,12001000200,000200,6671,7174,282,11678,6534
2814 NE 18TH DR,120010004001006,12001000400,000400,6655,23015,1246,18756,4711
3396-3520 SW 35TH PL,120010015151011,12001001515,001515,5207,16140,378,14940,4993
3312 SOUTHWEST 35TH BOULEVARD,120010015151011,12001001515,001515,5207,16140,378,14940,4993
207 SE 2 ST,120010005001044,12001000500,000500,5171,24516,872,30253,4560
3300 SW 23RD TERRACE,120010015142001,12001001514,001514,1561,22958,158,26330,1481
162 NORTHWEST 24TH STREET,120010010002001,12001001000,001000,5596,16646,783,37463,5223
3525 SW ARCHER RD,120010022201001,12001002220,002220,2156,30384,419,32102,1855
200 E UNIVERSITY AVE,120010005001023,12001000500,000500,5171,24516,872,30253,4560
5100 NW 80TH RD,120010018131012,12001001813,001813,3584,51856,1037,41584,2735
700 SOUTHWEST 62ND BOULEVARD,120010016044006,12001001604,001604,8129,18544,918,20622,7700
902 NORTHWEST 62 STREET,120010016044000,12001001604,001604,8129,18544,918,20622,7700
901-999 NE 31ST AVE,120010004004010,12001000400,000400,6655,23015,1246,18756,4711
"935 NE 3RD AVE
GAINESVILLE FL 32601
UNITED STATES",120010005004028,12001000500,000500,5171,24516,872,30253,4560
527-535 NE 12TH ST,120010005004002,12001000500,000500,5171,24516,872,30253,4560
2928 NW 49TH PL,NA,NA,NA,NA,NA,NA,NA,NA
3107 NORTHWEST 1ST AVENUE,120010010002009,12001001000,001000,5596,16646,783,37463,5223
1700-1710 NE 21ST PL,120010004002002,12001000400,000400,6655,23015,1246,18756,4711
WALDO ROAD GREENWAY-DEPOT AVENUE RAIL-TRAIL,NA,NA,NA,NA,NA,NA,NA,NA
FLORIDA 222,NA,NA,NA,NA,NA,NA,NA,NA
262 VILLAGE DR,NA,NA,NA,NA,NA,NA,NA,NA
1700 NW 7TH AVE,120010010004010,12001001000,001000,5596,16646,783,37463,5223
NW 37TH STREET,NA,NA,NA,NA,NA,NA,NA,NA
1100 SE 6 AVE,120010007001017,12001000700,000700,6395,19240,1305,19984,5284
2112 SE 3RD PLACE,120010006003038,12001000600,000600,5195,20582,987,13268,3835
439 NW 37TH AVE,120010003021006,12001000302,000302,2343,24292,414,25223,1967
4125 NW 12TH ST,120010003022014,12001000302,000302,2343,24292,414,25223,1967
1607 NW 45TH AVE,120010012031011,12001001203,001203,3542,33315,673,28551,2975
20 SW 23RD TER,120010010002033,12001001000,001000,5596,16646,783,37463,5223
201 NW 28TH TERRACE,120010010002002,12001001000,001000,5596,16646,783,37463,5223
NW 21ST ST,NA,NA,NA,NA,NA,NA,NA,NA
2635 SW 35TH PL,120010015162000,12001001516,001516,2134,14117,217,14493,1988
1578 NORTHWEST 7TH AVENUE,120010010004011,12001001000,001000,5596,16646,783,37463,5223
3830 NW 10TH PL,120010017021027,12001001702,001702,5622,38289,1352,40794,4560
1819 NE 16TH WAY,120010004002020,12001000400,000400,6655,23015,1246,18756,4711
4717 NW 31 TERRACE,120010012024000,12001001202,001202,7309,33838,1572,39611,6253
1535 NW 5TH AVE,120010010003002,12001001000,001000,5596,16646,783,37463,5223
1260 SW 16TH AVE,120010008061016,12001000806,000806,2414,17448,263,19195,2268
1210 SW 11TH AVE,120010008061008,12001000806,000806,2414,17448,263,19195,2268
1206 W UNIVERSITY AVE,120010002004007,12001000200,000200,6671,7174,282,11678,6534
1021 NORTHWEST 8TH STREET,120010003012058,12001000301,000301,4355,20845,615,19201,3871
2918 NE 10TH ST,120010004004010,12001000400,000400,6655,23015,1246,18756,4711
300 SOUTHWEST 2ND AVENUE,120010005001063,12001000500,000500,5171,24516,872,30253,4560
3926 SOUTHWEST 3RD AVENUE,120010016042012,12001001604,001604,8129,18544,918,20622,7700
203 NW 11TH ST,120010002004005,12001000200,000200,6671,7174,282,11678,6534
SW 16TH AVE,NA,NA,NA,NA,NA,NA,NA,NA
210 NW 15TH ST,120010010003013,12001001000,001000,5596,16646,783,37463,5223
3806 SOUTHWEST 4TH PLACE,120010016042019,12001001604,001604,8129,18544,918,20622,7700
1202 SW 1 AVE,120010002005000,12001000200,000200,6671,7174,282,11678,6534
145–299 NW 6TH ST,120010005001055,12001000500,000500,5171,24516,872,30253,4560
NW 23RD TERR AND NW 27 TH AVE,120010015153000,12001001515,001515,5207,16140,378,14940,4993
317 NW 2ND ST,120010005001013,12001000500,000500,5171,24516,872,30253,4560
307 NW 14TH ST,120010010003020,12001001000,001000,5596,16646,783,37463,5223
1320 NW 3RD AVE,120010010003020,12001001000,001000,5596,16646,783,37463,5223
1526 NW 7TH AVE,120010010004011,12001001000,001000,5596,16646,783,37463,5223
2117 SW 39TH WAY,120010015211003,12001001521,001521,4229,17670,527,16308,3882
515 N MAIN ST,120010005001009,12001000500,000500,5171,24516,872,30253,4560
GAINESVILLE,NA,NA,NA,NA,NA,NA,NA,NA
3880 SW 20TH AVE,120010015201007,12001001520,001520,2281,11997,151,10068,2238
249 W UNIVERSITY AVE - <NULL>,120010005001062,12001000500,000500,5171,24516,872,30253,4560
2711 NE 12TH ST,120010004004025,12001000400,000400,6655,23015,1246,18756,4711
2700 NW 51ST ST GAINESVILLE 32605 UNITED STATES,120010017011012,12001001701,001701,5495,24614,1173,29613,4703
4715 NW 30TH TER,120010012024013,12001001202,001202,7309,33838,1572,39611,6253
220 S MAIN ST,120010005001092,12001000500,000500,5171,24516,872,30253,4560
2718 W UNIVERSITY AVE,120010010002015,12001001000,001000,5596,16646,783,37463,5223
800 SE 4TH ST,120010003012060,12001000301,000301,4355,20845,615,19201,3871
400–598 NW 4TH PL,120010022081013,12001002208,002208,2797,42721,756,48157,2347
1536 NW 7TH AVE,120010010004011,12001001000,001000,5596,16646,783,37463,5223
218 NW 35TH TER,120010016031027,12001001603,001603,1467,17042,213,24036,1311
30 E UNIVERSITY AVE,120010005001049,12001000500,000500,5171,24516,872,30253,4560
530 N MAIN ST,120010005001010,12001000500,000500,5171,24516,872,30253,4560
1537 NW 7TH AVE,120010010004012,12001001000,001000,5596,16646,783,37463,5223
2039 NW 3RD AVE,120010010004042,12001001000,001000,5596,16646,783,37463,5223
1504 NE 8TH ST,120010005003002,12001000500,000500,5171,24516,872,30253,4560
2–98 SW 2ND AVE,NA,NA,NA,NA,NA,NA,NA,NA
3806 SW 4TH PL,120010016042019,12001001604,001604,8129,18544,918,20622,7700
2509 NW 8TH AVE,120010022081000,12001002208,002208,2797,42721,756,48157,2347
2541 NW 52ND AVE,120010012021008,12001001202,001202,7309,33838,1572,39611,6253
310 NW 8TH AVE,120010003012054,12001000301,000301,4355,20845,615,19201,3871
2156 NW 4TH PL,120010010004035,12001001000,001000,5596,16646,783,37463,5223
200 E UNIVERSITY AVE,120010005001023,12001000500,000500,5171,24516,872,30253,4560
2513 NW 31ST AVE,120010011004000,12001001100,001100,7143,40000,1752,39743,5676
1209 NW 4TH AVE,120010002003014,12001000200,000200,6671,7174,282,11678,6534
4101–4325 NW 24TH BLVD,120010012025011,12001001202,001202,7309,33838,1572,39611,6253
2–98 SE 1ST AVE,NA,NA,NA,NA,NA,NA,NA,NA
210 SE 3RD ST,120010005001044,12001000500,000500,5171,24516,872,30253,4560
NW 6TH ST,NA,NA,NA,NA,NA,NA,NA,NA
611 NW 10TH AVE,120010003012057,12001000301,000301,4355,20845,615,19201,3871
30 NE 43RD TER,120010014001016,12001001400,001400,4619,18365,627,14832,3900
SW 58TH TER & SW 9TH PL,NA,NA,NA,NA,NA,NA,NA,NA
534 SW DEPOT AVE,120010002002042,12001000200,000200,6671,7174,282,11678,6534
816 NE 10TH AVE,120010005003025,12001000500,000500,5171,24516,872,30253,4560
6 NW 32ND ST,120010010002001,12001001000,001000,5596,16646,783,37463,5223
411 NW 21ST ST,120010010004036,12001001000,001000,5596,16646,783,37463,5223
903 NW 51ST TER,120010017022017,12001001702,001702,5622,38289,1352,40794,4560
1721 SE 4TH ST,120010007002066,12001000700,000700,6395,19240,1305,19984,5284
507 NW 19TH ST,120010010004022,12001001000,001000,5596,16646,783,37463,5223
NW 13TH ST,NA,NA,NA,NA,NA,NA,NA,NA
1605 NW 31ST PL,120010012031053,12001001203,001203,3542,33315,673,28551,2975
3002 NW 31ST TER,120010011004004,12001001100,001100,7143,40000,1752,39743,5676
202 SE 2ND AVE,120010005001045,12001000500,000500,5171,24516,872,30253,4560
4254 NW 36TH ST,120010012011000,12001001201,001201,3421,32714,964,32910,2912
4530 NORTHWEST 30TH TERRACE,120010012024000,12001001202,001202,7309,33838,1572,39611,6253
503 NE 9TH ST,120010005004015,12001000500,000500,5171,24516,872,30253,4560
21 WEST UNIVERSITY AVENUE,120010005001060,12001000500,000500,5171,24516,872,30253,4560
223 NW 48TH BLVD,120010016041015,12001001604,001604,8129,18544,918,20622,7700
1724 NW 12TH ST,120010003011026,12001000301,000301,4355,20845,615,19201,3871
3518 NORTHWEST 22ND TERRACE,120010012022000,12001001202,001202,7309,33838,1572,39611,6253
1229 SW 5TH AVE,120010002006005,12001000200,000200,6671,7174,282,11678,6534
1326 NW 9TH AVE,120010010001031,12001001000,001000,5596,16646,783,37463,5223
1503 NORTHWEST 11TH ROAD,120010010001026,12001001000,001000,5596,16646,783,37463,5223
405 NW 7TH AVE,120010002001006,12001000200,000200,6671,7174,282,11678,6534
3 SE 1ST AVE,120010005001058,12001000500,000500,5171,24516,872,30253,4560
SW 37TH ST,NA,NA,NA,NA,NA,NA,NA,NA
428 SE 7TH ST,120010005001076,12001000500,000500,5171,24516,872,30253,4560
428 NW 2 AVE,120010002001023,12001000200,000200,6671,7174,282,11678,6534
2225 NW 2 AVE,120010010004034,12001001000,001000,5596,16646,783,37463,5223
710 NW 3RD STREET,120010002001001,12001000200,000200,6671,7174,282,11678,6534
2922 NE 17TH TERRACE,120010004001013,12001000400,000400,6655,23015,1246,18756,4711
889-999 N MAIN ST,120010003012024,12001000301,000301,4355,20845,615,19201,3871
3003 NORTHEAST 14TH STREET,120010004004020,12001000400,000400,6655,23015,1246,18756,4711
SAM'S TIRE 4500 NW 6TH ST GAINESVILLE,NA,NA,NA,NA,NA,NA,NA,NA
SW 23RD TERR AND ARCHER ROAD,120010015141002,12001001514,001514,1561,22958,158,26330,1481
NORTHWEST 10TH AVENUE,NA,NA,NA,NA,NA,NA,NA,NA
2220 SOUTHWEST 14TH STREET,120010008091008,12001000809,000809,1231,24085,125,24212,1159
313 NW 2ND ST,120010005001013,12001000500,000500,5171,24516,872,30253,4560
625-627 NORTHWEST 6TH STREET,120010002001014,12001000200,000200,6671,7174,282,11678,6534
1310 WEST UNIVERSITY AVENUE,120010010003023,12001001000,001000,5596,16646,783,37463,5223
199 NORTHWEST 18TH STREET,120010010003028,12001001000,001000,5596,16646,783,37463,5223
NW 4TH AVE & NW 8TH ST,NA,NA,NA,NA,NA,NA,NA,NA
452 NW 37 PL,120010003021006,12001000302,000302,2343,24292,414,25223,1967
411 NW 2ND ST,120010005001012,12001000500,000500,5171,24516,872,30253,4560
1208 SW 1 AVE,120010002005000,12001000200,000200,6671,7174,282,11678,6534
2305 SOUTHWEST 34 PLACE,120010015153009,12001001515,001515,5207,16140,378,14940,4993
1536 NW 7TH AVENUE,120010010004011,12001001000,001000,5596,16646,783,37463,5223
2044-2098 SOUTH MAIN STREET,120010008082008,12001000808,000808,3305,19755,460,19644,2930
324  NW   24  TH  ST   32607,120010010002001,12001001000,001000,5596,16646,783,37463,5223
400-408 SE 6TH TERRACE,120010005001077,12001000500,000500,5171,24516,872,30253,4560
4914 NW 18TH PLACE,120010017022003,12001001702,001702,5622,38289,1352,40794,4560
2100-2298 SW 2ND AVE,120010010004047,12001001000,001000,5596,16646,783,37463,5223
1–99 SE 1ST AVE,NA,NA,NA,NA,NA,NA,NA,NA
418 NW 27TH TER,120010010002001,12001001000,001000,5596,16646,783,37463,5223
3002 NW 31ST TER,120010011004004,12001001100,001100,7143,40000,1752,39743,5676
46 SW 25TH ST,120010010002021,12001001000,001000,5596,16646,783,37463,5223
69 SOUTHWEST 6TH STREET,120010005001065,12001000500,000500,5171,24516,872,30253,4560
417C NW 39 RD,120010016031008,12001001603,001603,1467,17042,213,24036,1311
1239 NW 10TH AVE,120010003012045,12001000301,000301,4355,20845,615,19201,3871
SW 42ND ST,NA,NA,NA,NA,NA,NA,NA,NA
2951 NW 21ST AVE,120010011004012,12001001100,001100,7143,40000,1752,39743,5676
409 NW 7TH AVE,120010002001006,12001000200,000200,6671,7174,282,11678,6534
1622-1698 NORTHEAST 15TH STREET,120010004002030,12001000400,000400,6655,23015,1246,18756,4711
3907 SW 5TH PLACE,120010016042024,12001001604,001604,8129,18544,918,20622,7700
2115 NW 3RD PLACE,120010010004044,12001001000,001000,5596,16646,783,37463,5223
710 NW 54TH TERRACE,120010016041025,12001001604,001604,8129,18544,918,20622,7700
1927 NW 7 LANE,120010010004025,12001001000,001000,5596,16646,783,37463,5223
325 NW 30 ST,120010010002030,12001001000,001000,5596,16646,783,37463,5223
3300 NW 8TH AVE,120010010005010,12001001000,001000,5596,16646,783,37463,5223
1000 SW 62 BLVD,120010016044006,12001001604,001604,8129,18544,918,20622,7700
600 NW 36TH ST,120010016031007,12001001603,001603,1467,17042,213,24036,1311
2114 NW 55TH BLVD,120010012023001,12001001202,001202,7309,33838,1572,39611,6253
3017 NE 11TH TERRACE,120010004004014,12001000400,000400,6655,23015,1246,18756,4711
3926 NW 34TH DR,120010012011023,12001001201,001201,3421,32714,964,32910,2912
2430,NA,NA,NA,NA,NA,NA,NA,NA
1935-2005 NORTHWEST 27TH TERRACE,120010011004018,12001001100,001100,7143,40000,1752,39743,5676
642 NW34TH TERR GAINESVILLE FL,NA,NA,NA,NA,NA,NA,NA,NA
900 NE 7TH STREET,120010005003029,12001000500,000500,5171,24516,872,30253,4560
NE 9TH AVE AND NE 6TH ST,NA,NA,NA,NA,NA,NA,NA,NA
SOUTHSIDE OF SR24 BETWEEN UF HEALTH & VA HOSPITAL,NA,NA,NA,NA,NA,NA,NA,NA
3010 SW 23 RD TERRACE,120010010002033,12001001000,001000,5596,16646,783,37463,5223
3116 FL-26,120010010002009,12001001000,001000,5596,16646,783,37463,5223
537 NW 35TH TERRACE,120010016031005,12001001603,001603,1467,17042,213,24036,1311
200 EAST UNIVERSITY AVENUE,120010005001023,12001000500,000500,5171,24516,872,30253,4560
818 NW 21ST TERRACE,120010010001035,12001001000,001000,5596,16646,783,37463,5223
1234 SOUTHWEST 1 AVENUE,120010002005000,12001000200,000200,6671,7174,282,11678,6534
101-199 NE 3RD AVE,120010005001017,12001000500,000500,5171,24516,872,30253,4560
529-599 NE 2ND AVE,120010005005029,12001000500,000500,5171,24516,872,30253,4560
700 NORTHWEST 19TH AVENUE,120010003011025,12001000301,000301,4355,20845,615,19201,3871
222 NE 1ST ST,120010005001018,12001000500,000500,5171,24516,872,30253,4560
2091-2097 SOUTHWEST 23RD TERRACE,120010015142000,12001001514,001514,1561,22958,158,26330,1481
1409 SOUTHWEST 105TH TERRACE,120010022082003,12001002208,002208,2797,42721,756,48157,2347
318 NW 24TH ST,120010010002001,12001001000,001000,5596,16646,783,37463,5223
WALDO ROAD GREENWAY-DEPOT AVENUE RAIL-TRAIL,NA,NA,NA,NA,NA,NA,NA,NA
2503 NW 59TH AVE,120010018033020,12001001803,001803,5457,28901,1280,30587,4622
3930 NW 33RD PL,120010011001012,12001001100,001100,7143,40000,1752,39743,5676
730 NORTHWEST 5 STREET,120010002001002,12001000200,000200,6671,7174,282,11678,6534
4013 SW 28TH TERR,120010015171000,12001001517,001517,4969,17613,455,15437,4546
600-614 NW 7TH AVE,120010002001003,12001000200,000200,6671,7174,282,11678,6534
1212 SOUTHWEST 1 AVENUE,120010002005000,12001000200,000200,6671,7174,282,11678,6534
1015 SW 5TH AVE,120010002006006,12001000200,000200,6671,7174,282,11678,6534
408 SOUTHEAST 6TH TERRACE,120010005001077,12001000500,000500,5171,24516,872,30253,4560
401 E UNIVERSITY AVE,120010005001030,12001000500,000500,5171,24516,872,30253,4560
4322 NW 20TH TERR,120010012031007,12001001203,001203,3542,33315,673,28551,2975
21 E UNIVERSITY AVE,120010005001048,12001000500,000500,5171,24516,872,30253,4560
734 NE 3RD AVE,120010005004023,12001000500,000500,5171,24516,872,30253,4560
NE 16TH AVE AND N MAIN ST,120010003011002,12001000301,000301,4355,20845,615,19201,3871
1600-1860 NW 23RD BLVD,120010012032006,12001001203,001203,3542,33315,673,28551,2975
1001 WALDO ROAD GREENWAY-DEPOT AVENUE RAIL-TRAIL,120010006001040,12001000600,000600,5195,20582,987,13268,3835
3960 SW 1ST AVENUE,120010016042002,12001001604,001604,8129,18544,918,20622,7700
2206 NORTHWEST 2ND AVENUE,120010010004032,12001001000,001000,5596,16646,783,37463,5223
2314 SW ARCHER RD,120010015141002,12001001514,001514,1561,22958,158,26330,1481
43 N MAIN ST,120010005001049,12001000500,000500,5171,24516,872,30253,4560
2002 NW 6TH ST,120010003011015,12001000301,000301,4355,20845,615,19201,3871
3405 NW 10TH AVE,120010017021036,12001001702,001702,5622,38289,1352,40794,4560
1633 NE 18TH PL  GAINESVILLE,120010004002018,12001000400,000400,6655,23015,1246,18756,4711
530 NE 8TH AVE,120010005003037,12001000500,000500,5171,24516,872,30253,4560
3469-3505 NORTHWEST 12TH AVENUE,120010017021010,12001001702,001702,5622,38289,1352,40794,4560
4300 SW 13TH ST,120011108001032,12001110800,110800,1853,34643,386,41135,1692
725 N MAIN ST,120010005001001,12001000500,000500,5171,24516,872,30253,4560
1633 NE 18TH PL,120010004002018,12001000400,000400,6655,23015,1246,18756,4711
825-837 NE 5TH AVE,120010005004021,12001000500,000500,5171,24516,872,30253,4560
2209 NE 9TH STREET,120010004003001,12001000400,000400,6655,23015,1246,18756,4711
1200 NW 52ND TER,120010017022026,12001001702,001702,5622,38289,1352,40794,4560
1921 NW 6TH ST,120010003011021,12001000301,000301,4355,20845,615,19201,3871
4000 N MAIN ST,120010019021018,12001001902,001902,3192,13594,360,13393,3006
2-110 NE 16TH AVE,NA,NA,NA,NA,NA,NA,NA,NA
405 NE 5TH ST,120010005005025,12001000500,000500,5171,24516,872,30253,4560
600-698 NORTHEAST 16TH AVENUE,120010004003005,12001000400,000400,6655,23015,1246,18756,4711
2826 NW 68TH AVE,120010018032023,12001001803,001803,5457,28901,1280,30587,4622
923 SE 2ND AVE,120010005001071,12001000500,000500,5171,24516,872,30253,4560
515 NORTHEAST WALDO ROAD,120010006002006,12001000600,000600,5195,20582,987,13268,3835
"3000 SW 35TH PL
GAINESVILLE FL 32608
UNITED STATES",120010015153000,12001001515,001515,5207,16140,378,14940,4993
NW 16TH TERRACE,NA,NA,NA,NA,NA,NA,NA,NA
400 NORTHWEST 9TH AVENUE,120010003012050,12001000301,000301,4355,20845,615,19201,3871
4411 SW 34TH STREET,120010015171000,12001001517,001517,4969,17613,455,15437,4546
4723 NORTHWEST 53RD AVENUE,120010018112004,12001001811,001811,6890,38813,1697,46540,5761
1726 NW 9TH ST,120010003011034,12001000301,000301,4355,20845,615,19201,3871
1022-1098 NORTHEAST 7TH STREET,120010005003018,12001000500,000500,5171,24516,872,30253,4560
497-515 N MAIN ST,120010005001009,12001000500,000500,5171,24516,872,30253,4560
3504 NW 21ST ST,120010012022016,12001001202,001202,7309,33838,1572,39611,6253
561 SOUTHEAST 5TH AVENUE,120010005001102,12001000500,000500,5171,24516,872,30253,4560
1948 NW 4TH ST,120010003011016,12001000301,000301,4355,20845,615,19201,3871
804 NW 11TH AVE,120010003012039,12001000301,000301,4355,20845,615,19201,3871
2552 NW 62ND AVE,120010018033015,12001001803,001803,5457,28901,1280,30587,4622
2386 SOUTHWEST 42ND STREET,120010015213023,12001001521,001521,4229,17670,527,16308,3882
NORTH POINTE VILLAS NW 23RD TERRACE AND 64TH PLACE,NA,NA,NA,NA,NA,NA,NA,NA
300 SW 16TH AVE,120010008061002,12001000806,000806,2414,17448,263,19195,2268
718 SW 10TH ST,120010002006009,12001000200,000200,6671,7174,282,11678,6534
1900 NW 22ND STREET,120010011003015,12001001100,001100,7143,40000,1752,39743,5676
2337 SW ARCHER RD,120010015142000,12001001514,001514,1561,22958,158,26330,1481
700-900 NE 10TH AVE,120010005002027,12001000500,000500,5171,24516,872,30253,4560
1200 NE 2ND ST,120010003012000,12001000301,000301,4355,20845,615,19201,3871
1200 NW 4TH AVE,120010002003012,12001000200,000200,6671,7174,282,11678,6534
1410 SW 25TH PL,120010008091023,12001000809,000809,1231,24085,125,24212,1159
1292 NORTHWEST 11TH AVENUE,120010003012035,12001000301,000301,4355,20845,615,19201,3871
200-204 NE 5TH AVE,120010005005021,12001000500,000500,5171,24516,872,30253,4560
713 NORTHWEST 4TH STREET,120010002001001,12001000200,000200,6671,7174,282,11678,6534
1536 NW 7TH AVENUE,120010010004011,12001001000,001000,5596,16646,783,37463,5223
301-399 NE 12TH ST,NA,NA,NA,NA,NA,NA,NA,NA
