adrs,codes
SW 28 TH TERRACE,NA
2105 NORTHWEST 16TH TERRACE,120010011003028
2105 NW 3RD PLACE,120010010004044
NE 15TH ST & NE 19TH PL,NA
331-425 NE STATE RD 24,120010005005029
NE 7TH ST & NE 8TH AVE,NA
4000 SW 47TH ST,NA
601 NW 7TH AVE,120010002001004
1045-1099 NE 5 TERRACE,120010005003016
2801 NORTHWEST 12TH PLACE,120010010005005
725 NW 13TH ST,120010005004000
17-101 NW 7 TERRACE,120010002004001
3848 NW 32 PL,120010011001011
422-506 NW 3RD AVE,120010002001019
901 NE WALDO RD,120010006001040
407 NE 7TH ST,120010005004022
631 NW 34TH TERRACE,120010016031002
2913 NW 45TH AVE,120010012021001
2701-2799 SOUTHWEST 23RD TERRACE,120010015142001
2211-2221 NW 28TH ST,120010011004014
"3696–3758 SW 27TH ST
GAINESVILLE FL 32608
UNITED STATES",NA
2316 NW 44TH PL,120010012025011
915 NW 1ST ST,120010003012056
3427 SOUTHWEST 30TH TERRACE,120010015172000
1105 NW 3RD AVENUE,120010002004006
4 E UNIVERSITY AVE,120010005001049
528 NW 2ND ST,120010002001009
1118-1156 NORTHWEST 18 AVENUE,120010003011025
320-398 SE 7TH ST,120010005001069
4329 NW27TH TERRACE,NA
3800 SW 34TH ST,120010015191002
2–98 SE 1ST AVE,NA
1929 NW 12TH RD,120010010001034
NW 69 TERRACE & NEWBERRY RD,NA
1100 NORTHWEST 2ND STREET,120010003012053
3  NW   24 TH ST,120010010002001
1905 NW 42ND PL,120010012031020
1398 E UNIVERSITY AVE,120010006002028
517 SOUTHEAST 2ND PLACE,120010005001068
"410 NE WALDO RD
GAINESVILLE FL 32641
UNITED STATES",120010005001035
10 NW 6TH ST,120010002004000
839 SE 10TH TERRACE,120010007002004
101–199 NE 3RD AVE,NA
1026-1028 NE 8TH AVE,120010005002036
1114 NE 2ND ST,120010003012023
2334 FL-26,120010010002024
600 NE WALDO RD,120010005004000
1803-1815 NW 7TH AVE,120010010004021
537 NW 36TH TER,120010016031007
225 NORTHEAST 11TH STREET,120010005004030
703-713 NORTHWEST 11TH AVENUE,120010003012058
1210 NW 51ST TERRACE,120010017022025
2340 SW 2ND AVE,120010010002033
3114-3140 OLD ARCHER RD,120010015151013
3234 NW 29TH TER,120010012022011
1740 NW 3RD PLACE APT 17,120010010003003
1850 SW 16TH ST,120010008091004
3941 SW 5TH PLACE,120010016042024
220 NW 15TH TER,120010010003012
6 NW 32ND ST,120010010002001
201 SE 1ST ST,120010005001084
NW 6TH STREET,NA
1327 NW 7TH AVE GAINESVILLE FL 32603,120010010004014
910 NE 26TH TERRACE,120010006001020
293-299 NW 3 ST,120010002001022
900-998 NE 4TH TERRACE,120010005003040
2711 NW 29TH PLACE,120010011004001
1126 NW 8TH ST,120010003012039
680 WINDMEADOWS BLVD,NA
325 NW 36 DRIVE,120010016031009
532 NE 4 AVE,120010005005026
536 NW 31ST AVENUE,120010003021008
1616 NW 31ST PL,120010012031038
2812 NW 44TH PL,120010012021001
"4181 SW 24TH AVE
GAINESVILLE FL 32607
UNITED STATES",120010015213000
2801 NW 13TH ST,120010003023029
1215 SE 19TH TERRACE,120010007003048
3741 SW 17TH PLACE,120010015201010
600 SOUTHWEST 6TH STREET,120010002002031
SW 23RD TERRACE,NA
2405-2415 NORTHWEST 32ND STREET,120010011004006
10 S MAIN ST,120010005001060
1108 NORTHEAST 1ST STREET,120010003012023
4013 SW 37 ST,120010015191006
456 NORTHEAST 21ST STREET,120010006003018
1925 NW 43RD ST,120010017021000
8401 NW 13TH ST LOT 23,120010018023097
3200 NW 11TH STREET,120010003023017
1400 NW 55TH PL,120010017023002
4204 NW 19TH ST,120010012031020
1522 NW 4TH ST GAINESVILLE FL,120010003012004
1639 NW 11TH RD,120010010001018
4149 NW 19 TERACE,120010017021017
3759 NW 26TH STREET,120010012022008
2908 SW 2 CT,120010008081003
912 NW 36TH DRIVE,120010017021007
501-517 NE 4 ST,120010005005019
4002 NW 8TH AVE,120010017021033
3805 SW 4TH PLACE,120010016042023
800 NE BLVD,120010005003048
417 NW 39 RD,120010016031008
1027 NW 40 DR,120010017021032
4401 NW 44TH PL,120010018113022
916 NE 9TH AVE,120010005002028
104 NW 9TH AVE,120010003012055
2147-2189 SOUTH MAIN STREET,120010008081003
200 NE 2 ST,120010005001017
1017 NW 42 AVENUE,120010003022010
1068-1098 NW 31ST DR,120010003023038
2502 NW 31ST AVE,120010012022013
504 NE 25TH ST,120010006003018
1004 NE 9TH ST,120010005003025
2340 NW 42ND PL,120010012025011
2106 NW 4TH PL,120010010004035
321 SW 26 STREET,120010010002026
1019-1099 NE 28TH AVE,120010004004028
1113 NE 23 AVE,120010004003000
4469 SW 21ST LANE,120010015211010
615-623 NW 6TH ST,120010002001024
3836 SW 30TH TERRACE,120010015171000
2813 NW 21 TERR,120010011003000
2444 NE 13TH AVE,120010006001000
1633 NW 14TH AVE,120010010001032
919 NORTHWEST 10TH AVENUE,120010003012043
2628 SOUTHWEST 31 TERRACE,120010015151005
3510 NW 17TH ST,120010012031023
1040 NE 12TH AVE,120010005002014
1943 NE 15TH ST,120010004002005
2202 NORTHWEST 2ND AVENUE,120010010004032
2216-2430 NORTHWEST 38TH DRIVE,120010011002005
1614 NW 13TH ST,120010022043021
GAINESVILLE CHAMBER OF COMMERCE,NA
2205 NW 5TH PL,120010010004032
2892 NW 4 LN,120010010002001
713 NW 11TH AVE,120010003012058
1768–1798 SW 23RD DR,NA
510 NE WALDO RD,120010005001035
4436 NW 27TH TER,120010012021000
205 NE 3RD ST,120010005005035
1715 NORTHWEST 35TH WAY,120010011002021
1298 SW 9TH RD,120010002006019
2062 NORTHWEST 11TH RD,120010010001005
228 NW 15TH AVE,120010003012003
SW 10TH ST & SW 5TH AVE,NA
360 NE WALDO RD,120010005004018
1340 E UNIVERSITY AVE,120010006002028
99 SOUTHWEST 1ST AVENUE,120010005001059
805 NE 4TH TERRACE,120010005003044
2300-2398 NE 23RD ST,120010015142001
903 NW 30TH AVE,120010003023025
WALDO RD GREENWAY-DEPOT AVENUE RAIL-TRAIL,NA
4280 NORTHWEST 16TH BOULEVARD,120010011002012
5995 SOUTHWEST 75TH STREET,120010022192019
1304-1598 NE 2ND ST,120010003012000
1515 NW 16TH  AVE,120010010001001
NE 4TH AVE AND NE 6TH ST,NA
4046-4340 FL-26,120010014003001
4800 NW 19TH ST,120010012025000
2825 NW 104 COURT,120010022042000
4015 SW 26TH DR,120010015162004
1005 NE 3RD AVE,120010005004029
1200 NE 5 TERRACE,120010005003006
421 SOUTHEAST 1ST AVENUE,120010005001031
198 SW 3RD ST,120010005001063
NW 34TH ST,NA
2208 NORTHWEST 29TH PLACE,120010011004012
1609-1699 NW 10TH ST,120010003011035
1015 NW 3RD AVE,120010002004005
300–798 SW 1ST AVE,NA
636-698 SE 7TH AVE,120010002001003
306 NE 6TH AVE,120010005005008
306 NW 16TH STREET,120010010003007
1919 NE 17TH WAY,120010004002013
36 NORTHWEST 27TH TERRACE,120010010002001
2010-2020 NORTHWEST 13TH STREET,120010022043021
2284 NW 19TH LN,120010011003014
1601-1699 NW 9TH ST,120010003011036
2200 NW 47TH ST,120010017022005
1900 NORTHWEST 40TH TERRACE,120010017021000
3405 SOUTHWEST 40 BOULEVARD,NA
601-799 SE 3RD ST,120010005001101
19 SOUTHWEST 2ND STREET,120010005001061
1105 NE ST,NA
3443 SW ARCHER RD,NA
1103 NW 16TH AVENUE GAINESVILLE FL,120010003012009
2323 SOUTHWEST 38TH TERRACE,NA
2130 NW 52ND PL,120010012025000
5015 NORTHWEST 40 STREET,120010012011012
401 SE 6TH TERRACE,120010005001076
3833-3899 SOUTH MAIN STREET,120010008081003
2006 NE STATE RD 24,NA
100 SW 2ND AVE,120010005001094
1803 NW 7TH ST,120010003011030
124 SW 23RD ST,120010010002032
NE 9TH AVE AND NE 8TH ST,NA
121 SW 13TH STREET,120010002005001
7741 NW 21ST DRIVE,120010019082024
2831 NW 4TH LN,120010010002002
636 NW 26TH AVE,120010003023025
2923-2931 NORTHEAST 10TH STREET,120010004004013
2833 NW 21ST TER,120010011003000
1600 SW ARCHER ROAD,120010009021006
1643 14TH AVE,120010010001032
501-525 NE 2ND AVE,120010005001026
KINGDOM HALL OF JEHOVAHS WITNESSES SOUTHSIDE AND NORTHEAST GAINESVILLE,NA
2402 NW 23RD TERRACE,120010011004016
313 NW 8TH AVE,120010022081000
2365 SW 43 ST,120010015211000
1800-1822 NW 3RD AVE,120010010003003
4517 NORTHWEST 36TH TERRACE,120010012011000
927 NORTHWEST 40 DRIVE,120010017021033
1200 BLOCK SW 8TH AVE,120010022173017
1716 NW 3RD AVE,120010010003006
NW 22ND STREET AND 5TH AVENUEVILLE,NA
NE 7TH ST,NA
7214-7398 NORTHEAST 27TH AVENUE,120010014003002
2228 NW 7TH LANE,120010010004009
SOUTHEAST 4TH AVENUE,NA
1900 SOUTHWEST ARCHER ROAD,120010009021010
605 SE 7TH ST,120010005001103
2365 SW 43RD ST,120010015211000
4901 FL-26,120010016041019
900 NW 17 AVE GAINESVILLE FL,120010003011034
104-198 NW 14TH ST,120010010003022
3926 NW 34TH PLACE,120010011001007
1006 NE 9TH AVE,120010005002029
2221 NW 19 AVE,120010011003030
200 NE 16TH AVE,120010004003018
SW 3RD AVE AND SW 6TH STREET,120010002002004
690 SOUTHWEST 62ND BOULEVARD,120010016044006
103 NW 24TH ST,120010010002001
3207 NW 52ND LANE,120010012011011
2105-2115 NW 3RD PL,120010010004044
SOUTHWEST 35TH PLACE,NA
2100 NW 54TH TER,120010017022003
1400 NE 2ND ST,120010003012000
3119 NE 14 ST,120010004004000
4411 NW 8TH PL,120010022081000
NE 10TH AVE & NE 9TH AVE BETWEEN NE 9TH ST AND NE BLVD,NA
3300 SW 23RD TERRACE,120010015142001
101 NW 28 TERRACE,120010010002002
5020 NW 10TH PL,120010017022018
531 NE BOULEVARD,120010005005016
416 NW 28TH TERRACE,120010010002013
9017-9199 NW 23RD AVE,120010022043016
1032 NORTHWEST 40 AVENUE,120010003022015
8620 NW 13TH ST #286,NA
2-98 NE 16TH AVE,120010004003018
810 SW 1ST AVENUE,120010002004025
503 NW 3RD AVE,120010002001023
8620 NW 13TH ST UNIT 276,120010018032002
1328 NE 32ND AVE,120010004004000
710 NW 7TH AVE,120010002001003
810 NW 8TH ST,120010003012048
201-237 SW 34TH ST,120010009011006
SOUTHWEST 27TH STREET,NA
NORTHWEST 37TH STREET,NA
4303 SW 21ST LN,120010015211010
806 NE 7TH ST,120010005003036
SE 8TH AVE/SE 10TH ST,NA
200 NE 3RD ST,120010005005034
1800 NW 39TH TER,120010017021003
5014 NW 40TH ST,120010012011012
4329 NW 26TH DRIVE,120010012021018
4700-4716 NW 24TH BLVD,120010012021015
SW 37TH BLVD,NA
22-98 NE 11TH ST,120010005004032
919 SW 6TH AVE,120010002006011
3101-3335 SR-24 E,NA
329 NW 15TH ST,120010010003001
417C NW 39 RD,120010016031008
101 SW 1 ST,120010005001059
1204  NORTHWEST 18 AVENUE,120010003011025
708 NW 31ST AVENUE,120010003023034
527 NW 35TH TERR,120010016031005
415 SE 2ND AVE,120010005001042
2521 NW 26TH PL GAINESVILLE,120010011004000
216 NW 20TH TERRACE,120010010004042
1619 NE 15 ST,120010004002028
600 NORTHEAST WALDO ROAD,120010005004000
3555 NW 14TH AVE,120010017021007
3213 NW  63RD PL,120010018033003
817 NW 16TH AVE,120010003012008
801-845 NW 122ND ST,120010022081000
5153 NW 81ST AVE,120010019082042
1229 NORTHWEST 12TH AVENUE,120010003012035
1626 NW 7TH AVENUE,120010010004011
4329 NW 27TH TERRACE,120010012021018
228 SE DEPOT AVE,120010005001110
2204 NW 5TH PL,120010010004032
1100-1198 SOUTHEAST 16 AVENUE,120010021011050
532-598 SE 2ND PL,120010005001042
2936 NW 45TH AVE,120010012021006
2298 NW 21ST AVE,120010011003013
2430 NW 38TH DR,120010011002005
2225 NW 2ND AVE,120010010004034
1218 NORTHWEST 44TH AVENUE,120010003022003
9232 NW 25TH LANE,120010022044014
3601 SW 2ND AVE,120010016041000
2340 NE WALDO RD,120010004001010
815 SW 10TH ST,120010002006016
4520 NW 28TH TER,120010012021005
222 SW 10TH ST,120010002004023
2100 NE 39TH AVE,120010019021021
4810 NW 8TH AVENUE GAINESVILLE FLORIDA,120010017022017
1336 NW 5TH AVE,120010010004030
1300-1398 SOUTHWEST 21ST AVENUE,120010008091008
1005 SOUTHEAST 2ND AVENUE,120010005001071
50 SW 6TH STREET,120010002004018
4216 NW 20TH TERRACE,120010012031017
SOUTHWEST 6TH  ST,NA
19 SW 2ND ST,120010005001061
418 NW 3RD AVE,120010002001019
2227 NORTHWEST 7TH LANE,120010010004009
236 NW 2ND AVE,120010002001022
1126 1126 NW 16TH AVE GAINESVILLE 32601 UNITED STATES,120010003011025
1131 NORTHWEST 51 TERRACE,120010017022017
CASABLANCA EAST APARTMENTS,NA
517 NE 4TH ST,120010005005019
1031  NE 7TH ST,120010005003019
4121 NW 15TH PL,120010017021012
1503 NW 4TH ST,120010003012003
114 SOUTHWEST 24TH STREET,120010010002022
608 NW 24TH AVE,120010003023043
CLEAR LAKE,NA
1001-1099 NW 17TH ST,120010010001018
709 NW 22ND ST,120010010004026
24 S MAIN ST,120010005001060
1124 SE 4 ST,120010007002050
100 N MAIN ST,120010005001021
1620 SW 42ND ST,120010015201005
7022,NA
1299 NW 39TH AVE,120010003023000
1050 NE 7TH STREET,120010005003018
NW 34TH ST AND 31SR BLVD,NA
1564 NORTHWEST 7TH PLACE,120010010004003
6608 NW 40TH DR,120010018034007
813 SE 2ND AVE,120010005001070
926-928 NE STATE RD 24,120010005003047
824 NW 40TH DR,120010017021031
700-798 SE 2ND PL,120010005001070
3906 NORTHWEST 19TH STREET,120010012031022
1674 NORTHWEST 34TH STREET,120010011002021
2–98 NW 1ST ST,NA
4007 SW 22ND ROAD,120010015211000
702 NE 5TH ST,120010005005003
1022 NW 3RD AVE GAINESVILLE 32601 UNITED STATES,120010002003020
N MAIN ST AND NE 12TH AVE,120010003012022
1631 NW 5TH AVE,120010010003002
508 NW 2ND AVE,120010002001023
2263-2289 NORTHEAST 39TH AVENUE,120010004001000
1000 W UNIVERSITY AVE,120010002004015
2138 NW 29TH PL,120010011003003
5830 NW 34TH BLVD,120010018034001
320  NW  24  TH  ST  32607,120010010002001
201 SE DEPOT AVE,120010005001111
SW 62ND BOULEVARD,NA
600-700 NE 8TH AVE,120010005003036
630-642 NE 15TH TERRACE,120010006002004
110 SW 6TH ST,120010002004018
2301 SW 39 DR,120010015211000
3800 SW 34TH STREET,120010015191002
SOUTHEAST 3RD STREET,NA
1701 SW 16TH AVE,120010008091004
510 NW 15TH ST,120010010004019
752 NW 22ND ST,120010010004009
532 SW 6TH AVE,120010002002030
2046 NW 35TH AVE,120010012031043
600-698 NE 11TH ST,120010005004013
NW 24TH BLVD & SR-222,NA
703 NW 8TH PL,120010003012063
1206 NE 17TH AVE,120010004002027
INTERSECTION OF NE 1ST ST & NE 3RD AVE,NA
3905-3917 NORTHWEST 32ND PLACE,120010011001011
1926 NW 42 PL,120010012031020
1030 EAST UNIVERSITY AVENUE,120010005004031
2905 ARCHER ROAD #4013,NA
4560 CLEAR LAKE DR,120010016041015
400–598 SE 2ND PL,NA
3026 NW 23RD DR,120010011004002
1426 NE 7TH ST,120010005003004
830 NW 7TH AVE,120010002003004
4530 NW 30TH TERRACE,120010012024000
417 NW 3RD ST,120010002001010
1105 NE 9TH ST,120010005002021
1003 NW 15 AVE,120010003012013
1716 NW 10 TERR,120010003011025
600-698 SOUTHWEST DEPOT AVENUE,120010002002031
3426 NW 22ND TERRACE,120010012022000
3759 NW 26TH ST,120010012022008
2540 NW 44TH PL,120010012021015
NE 8TH AV AND NE 9TH ST,NA
NW 3RD AVENUE,NA
615 NORTHEAST 14TH STREET,120010006002005
504 NW 18TH TERRACE,120010010004022
375 S MAIN ST,120010005001082
1653 NW 14TH AVE,120010010001032
1515 NW 29 RD,120010012032004
1926 W UNIVERSITY AVE,120010010004040
NE BOULEVARD,NA
615-699 SOUTHEAST 4TH AVENUE,120010005001076
701 NORTHWEST 21 AVENUE,120010003011014
1041-1099 S MAIN ST,120010007002012
1 W UNIVERSITY AVE,120010005001060
7234 NW 21ST WAY GAINESVILLE,120010019082015
207 NW 35TH TERR  GAINESVILLE FL,120010016031026
ROOMS TO GO,NA
507 NW 19TH ST,120010010004022
4411 SW 34TH STREET,120010015171000
1634 NW 11TH RD,120010010001019
683 SOUTHWEST 2ND STREET,120010005001107
SW 23RD ST & SR-331 S,NA
1720 SOUTHWEST 37TH STREET,120011108001002
1739 NW 10TH AVE,120010010001017
COFRIN PARK,NA
3716-3726 SW 5TH PL,120010016042022
1500 NW 45TH AVE,120010012031001
4003 NW 21ST DRIVE,120010012025017
1507 NW 6TH ST,120010003012005
718 SE 10TH ST,120010007002003
2712 NW 1ST AVE,120010010002004
1326 NW 14TH AVE,120010010001001
4101-4199 NW 19TH ST,120010012031012
310 NW 3RD ST,120010002001020
1201 NE 22ND ST,120010006001002
SE 20TH STREET,NA
874 NORTHWEST 10TH AVENUE,120010003012038
1900 NORTHEAST STATE ROAD 24,NA
3502 NE 12 ST,120010004004007
SW ARCHER RD,NA
SW 75TH ST,NA
2201-2399 SW 75TH ST,120010022182006
NW 2ND STREET,NA
1000 NW 40TH DR,120010017021031
4423 NW 22ND ST,120010012025013
NORTHWEST 15 AVENUE,NA
4562 NW 13TH STREET,120010012031001
425 NORTHWEST 10TH AVENUE,120010003012050
1122 NE 24TH ST,120010006001009
813 NW 19TH AVE,120010003011027
2042 NW 7TH LN,120010010004028
"3911 SW 27TH ST
GAINESVILLE FL 32608
UNITED STATES",120010007004026
729-799 NORTHWEST 17TH STREET,120010010004003
631 NORTHWEST 35TH TERRACE,120010016031005
2541 NW 54TH BLVD,120010012023004
1602-1608 NORTHEAST 30TH AVENUE,120010004001007
111 E UNIVERSITY AVE,120010005001047
411 NW 21ST ST,120010010004036
642-698 NE 8TH AVE,120010005003036
3809 NW 10TH PL,120010017021025
1101-1143 FORT CLARKE BLVD,120010022043023
2132 NW 7TH PLACE,120010010004008
1212 SW 1ST AVENUE,120010002005000
301 SOUTHEAST 4TH AVENUE,120010005001079
3316 SW 35TH BLVD,120010015151011
401 SOUTHEAST 1ST AVENUE,120010005001031
127 SE DEPOT AVE,120010005001111
3641 SOUTHWEST 24TH AVENUE,120010015213000
4024 SW 21ST RD,120010015211000
718 NW 4TH ST,120010002001002
799 NE 7TH ST,120010005004006
301-399 NE 12TH ST,120010005004018
NORTHEAST PARK,NA
401–599 NW 9TH AVE,NA
NE 16TH AVE,NA
1032 NE 7TH AVE,120010005004012
1600 SW 13TH ST,120010008091007
NE 9TH ST AND NE 4TH AVE,120010005004021
1246 NE 16 PL,120010004002030
320 NE 12TH ST,120010005004018
3533 SW 35TH PL,120010015201010
2900 SW 40TH AVE,120010015172007
1120 NW 42ND AVE GAINESVILLE FLORIDA,120010003022011
3955 NW 39TH CT,120010012011016
2402 NW 23RD TER,120010011004016
301-319 NW 21ST ST,120010010004036
2811 SW ARCHER RD,120010015142000
401-539 NE 16TH AVE,120010005003005
230 SW 2ND AVE,120010005001062
309   NORTH WEST  24  TH ST  32607-2684,NA
2298 NW 15 AVE,120010010005000
313 NE 4TH AVE,120010005005032
1621-1699 NW 11TH RD,120010010001018
NW 27TH ST AND NW 31ST AVE,120010012022011
1440 SE 24TH PL,120010007002083
2204 NW 2ND AVE,120010010004032
2199 NW 40TH TERRACE,120010017021002
1960 NORTHWEST 31ST PLACE,120010012031050
1115 NE 5TH AVE,120010005004018
223 NW 20TH AVE,120010003011019
40 SW 2ND ST,120010005001062
2101 NORTHWEST 39TH AVENUE,120010012022000
NE 6TH TER,NA
1600 NE 12TH AVE,120010005002000
260 NW 44TH ST,120010016042006
1017-1025 NORTHEAST 9 AVENUE,120010005002037
3557-3573 WINDMEADOWS BLVD,120010015213020
302 NW 27TH TERRACE,120010010002001
3805 SOUTHWEST 4TH PLACE,120010016042023
100 NE 8 AVE GAINESVILLE FL,120010003012061
996 SW 16TH AVENUE,120010008061003
4896-4898 NORTHWEST 48 PLACE,120010018113015
310 NW 7TH AVE,120010002001001
3524 SW 30TH TER,120010015172000
20 SW 1ST AVE,120010005001060
EAST UNIVERTY AVE AND NE 8TH ST,NA
3737 SW 42ND AVE,NA
3900-3998 NORTHWEST 8TH AVENUE,120010017021028
728 NW 22ND AVE,120010003011006
3846 NW 14TH PL,120010017021022
3604 NW 30 PL,120010011001002
5526 NW 30TH TERRACE,120010018031006
314-398 NE 5TH AVE,120010005005020
201 FL-24,120010002005002
524 SW 26TH PL,120010008083004
"3135 SW 42ND ST
GAINESVILLE FL 32608
UNITED STATES",120010015171000
3501 NE 12TH ST,120010004004000
2822 NE 13TH DR GAINESVILLE FL,120010004004023
6TH STREET RAIL-TRAIL,NA
325 NORTHWEST 30 ST,120010010002030
922 NW 7TH AVE,120010002003001
900 NE 7TH TERRACE,120010005004005
201 NE 8TH ST,120010005004025
555 NW 31ST AVE,120010003021006
699 SOUTHEAST DEPOT AVENUE,120010005001111
3100-3198 NW 9TH TERRACE,120010003023036
1325 NW 2ND ST,120010003012021
3035 NE 28TH AVE,120010007004026
1208 NW 16TH AVE,120010003011026
510 NORTHEAST WALDO ROAD,120010005001035
4062 PLAZA BLVD,NA
1208-1298 NORTHEAST 3RD AVENUE,120010006002007
E UNIVERSITY AVE AT E 1ST ST,120010005001049
1024 NE 14TH ST,120010005002011
2206 NW 4TH PLACE,120010010004032
2701 SW 31ST TERRACE,120010015151005
3962 SW 5TH PL,120010016042023
112 SW 1ST AVE,120010005001061
1636 NW 6TH AVE,120010010004012
8 NW 24TH ST,120010010002001
4110-4198 SW 5TH AVE,120010016042008
3400 NW 42ND TERRACE,120010011001011
718 SW 16 AVE APT#105,NA
2911 NE 10TH ST,120010004004013
3527 SW 20TH AVE,120010015212005
3422 NW 17TH ST,120010012031040
